gene_name,node_idx
Gnai3,0
Pbsn,1
Hoxb9,2
Cdc45,3
Apoh,4
Cav2,5
Klf6,6
Cox5a,7
Tbx2,8
Tbx4,9
Cntn1,10
Ngfr,11
Wnt3,12
Fer,13
Actr2,14
Gna12,15
Itgb2l,16
Pih1d2,17
Sdhd,18
Fgf23,19
Fgf6,20
Ccnd2,21
Ccl2,22
Ccl12,23
Ncs1,24
Nalcn,25
Btbd17,26
Slfn4,27
Th,28
Ins2,29
Scnn1g,30
Lhx2,31
Clec2g,32
Gmpr,33
Ifi202b,34
Glra3,35
Dgke,36
Scpep1,37
Mnt,38
Itgb2,39
Hddc2,40
Tpd52l1,41
Pemt,42
Cdh1,43
Cdh4,44
Ckmt1,45
Bcl6b,46
Clec10a,47
Alox12,48
Comt,49
Ccl11,50
Rtca,51
Dbt,52
Dazap2,53
Mcts1,54
Rem1,55
Trappc10,56
Ccm2,57
Tbrg4,58
Tmprss2,59
Egfl6,60
Tssk3,61
Galnt1,62
Myf5,63
Mkrn2,64
Pparg,65
Raf1,66
Plin2,67
Pdgfra,68
Pdgfb,69
Mcm7,70
Serpinb8,71
Acvrl1,72
Grasp,73
Acvr1b,74
Gabra2,75
Ovgp1,76
Adora3,77
Sox9,78
Rdx,79
C1d,80
Gm2a,81
Clcn4,82
Grm6,83
Zfp354c,84
Sema4f,85
Hk2,86
Haao,87
Cd52,88
Hoxb6,89
Loxl3,90
Tcl1b5,91
Tcl1b4,92
Kat2b,93
Rab5b,94
Dnmt3l,95
Sult5a1,96
Rpl13,97
Chmp1a,98
Rpa1,99
Serpinf1,100
Tubgcp3,101
Polr3d,102
Ddx3x,103
Il12rb1,104
Slc5a5,105
Kcnn3,106
Txnrd3,107
Fasl,108
Il4,109
Necab3,110
Pxmp4,111
Dbh,112
Mmp11,113
Smarcb1,114
Vpreb3,115
Hip1r,116
Nsun5,117
Top1mt,118
Hoxa1,119
Slc7a7,120
Oxa1l,121
Heatr6,122
Ccl3,123
Wfdc18,124
Aox1,125
Tyk2,126
Icam4,127
Ilf2,128
Chtop,129
S100a4,130
S100a3,131
S100a5,132
S100a6,133
Icam2,134
Ern1,135
Sec24b,136
N4bp3,137
Rmnd5b,138
Zfp276,139
Mfsd10,140
Grk4,141
Grk6,142
Luzp1,143
Slc13a2,144
Kctd10,145
Slc46a1,146
Poldip2,147
Sebox,148
Col6a1,149
Pcbp3,150
Araf,151
Cfp,152
Cnnm3,153
Ankrd39,154
Pcnt,155
Col6a2,156
Ftcd,157
Mxd1,158
Gmcl1,159
Snrnp27,160
Anxa4,161
Ocrl,162
Agpat3,163
D10Jhu81e,164
Rnf32,165
Slc26a4,166
Slc26a3,167
Sema6b,168
Uhrf1,169
Lsr,170
Gramd1a,171
Ckb,172
Efnb2,173
Sp1,174
Itgb7,175
Rrp15,176
Rnd2,177
Cnn1,178
Fbxo9,179
Vps50,180
Sra1,181
Hars,182
Zmat2,183
Smg5,184
Cct3,185
Mef2d,186
Tmem79,187
Snd1,188
Kpnb1,189
Npepps,190
Tbx21,191
Mrpl10,192
Cideb,193
Cyp51,194
Tubb6,195
Afg3l1,196
Sost,197
Nkx2-1,198
Pax9,199
Vwa5a,200
Col1a1,201
Itga3,202
Itfg2,203
Tulp3,204
Gtf2h4,205
Tubb5,206
Flot1,207
Ell2,208
Jup,209
Fkbp10,210
Klhl10,211
Nom1,212
Fxr1,213
Tnk1,214
Acap1,215
Bdkrb2,216
Csn3,217
Ifrd1,218
Stk38l,219
Hoxc10,220
Hoxc13,221
Hoxc11,222
Hoxc8,223
Hoxc9,224
Hoxc5,225
Hoxc6,226
Cabin1,227
Gstt1,228
Gstt3,229
Ddt,230
Tat,231
Marveld3,232
Ddx18,233
Eef1e1,234
Akt1,235
Cldn15,236
Il16,237
Tcirg1,238
Naglu,239
Coasy,240
Pabpc1,241
Smo,242
Crnkl1,243
Folh1,244
Chordc1,245
Rtcb,246
Pwp1,247
Capns1,248
Slc7a10,249
Hoxd13,250
Hoxd12,251
Clpb,252
Zdhhc4,253
Aif1l,254
Cpa3,255
Ltbp1,256
Tollip,257
Ace,258
Kcnh6,259
Trmt1,260
Nacc1,261
Ceacam9,262
Uba1,263
Siae,264
Vsig2,265
Esam,266
Spa17,267
Tktl2,268
Emd,269
Ccdc47,270
Map3k3,271
Taco1,272
Npas1,273
Ap4e1,274
Blvra,275
Plxnb3,276
Pdzd4,277
Srpk3,278
Abcd1,279
Pnck,280
Bcap31,281
Kmt2a,282
Ift46,283
Tmem25,284
Cd3g,285
Trappc6a,286
Supt6,287
Unc119,288
Rab34,289
Sdf2,290
Hsf2bp,291
Bbc3,292
Acp2,293
Nr1h3,294
Spi1,295
Sf3a1,296
Clgn,297
Napsa,298
Vrk3,299
Smg9,300
Plaur,301
Uchl3,302
Paxip1,303
Rmnd5a,304
Ppm1j,305
Rhoc,306
Kdm7a,307
Zfp523,308
Ppard,309
Def6,310
Zim1,311
Metrn,312
Narfl,313
Angptl4,314
Cd320,315
Tgm1,316
Tm9sf1,317
Rec8,318
Gmpr2,319
Adcy4,320
Mdp1,321
Dhrs1,322
Ncan,323
Tmem161a,324
Snx9,325
Rfx2,326
Ranbp3,327
Ndufa11,328
Nt5c1b,329
Bmp8b,330
Nr2f6,331
Ocel1,332
Babam1,333
Braf,334
Meis3,335
Hltf,336
Aes,337
Prpf6,338
Rgs19,339
Abhd3,340
Snrpd1,341
Slc9a3r2,342
Tiam1,343
Scrib,344
Uck1,345
Scin,346
Mien1,347
Pon1,348
Axl,349
Tgfb1,350
Ccdc97,351
Akap8,352
Shh,353
Pdcd2l,354
Gtf2f1,355
Clpp,356
Alkbh7,357
Pspn,358
Med6,359
Cox16,360
Prkd1,361
Cse1l,362
Naa20,363
Prkra,364
Fkbp7,365
Ykt6,366
Baz1b,367
Tmed5,368
Ppp2r5d,369
Pex6,370
Mrpl2,371
Mea1,372
Gnmt,373
Grin2d,374
Abcc6,375
Kdelr1,376
Btbd6,377
Nudt14,378
Sfrp4,379
Epdr1,380
Flii,381
Top3a,382
Qtrt1,383
Plin4,384
Hdgfl2,385
Chaf1a,386
Adprh,387
Tmem39a,388
Timmdc1,389
Pla1a,390
Il17ra,391
Lamb1,392
Arrdc2,393
Tbxas1,394
Map2k7,395
Timm44,396
Disp1,397
Ap2a2,398
Pnkp,399
Med25,400
Bcam,401
Apoe,402
Apoc4,403
Apoc2,404
Prkar2b,405
Cyp2f2,406
Cdkn1b,407
Ap1m1,408
Rab8a,409
Fam32a,410
Elf3,411
Cyp2c29,412
Stk11,413
Efna2,414
Atp5d,415
Ppp5c,416
Lipe,417
Cnot11,418
Foxj2,419
Sh3gl1,420
Ebi3,421
Irf3,422
Bcl2l12,423
Ranbp2,424
Edar,425
Grk5,426
Dvl3,427
Abcf3,428
Eif2b5,429
Amph,430
Grin2c,431
Car11,432
Plag1,433
Hck,434
Mrpl4,435
Cyp4f39,436
Cyp4f16,437
Mknk2,438
Btbd2,439
Abhd17a,440
Mob3a,441
Cacnb3,442
Ccdc65,443
Fkbp11,444
Ddx23,445
Rnd1,446
Myo1g,447
Grik5,448
Cd79a,449
Prkcsh,450
