,protein_id,gene_name,node_idx,cluster
0,1,Gnai3,0,13
1,3,Pbsn,1,18
2,10,Hoxb9,2,34
3,28,Cdc45,3,30
4,49,Apoh,4,10
5,58,Cav2,5,11
6,80,Klf6,6,16
7,90,Cox5a,7,17
8,95,Tbx2,8,34
9,96,Tbx4,9,34
10,109,Cntn1,10,0
11,122,Ngfr,11,34
12,127,Wnt3,12,34
13,129,Fer,13,0
14,137,Actr2,14,37
15,153,Gna12,15,2
16,161,Itgb2l,16,10
17,171,Pih1d2,17,11
18,175,Sdhd,18,17
19,186,Fgf23,19,34
20,187,Fgf6,20,34
21,188,Ccnd2,21,34
22,193,Ccl2,22,6
23,194,Ccl12,23,14
24,199,Ncs1,24,2
25,201,Nalcn,25,0
26,206,Btbd17,26,11
27,208,Slfn4,27,11
28,219,Th,28,0
29,220,Ins2,29,29
30,221,Scnn1g,30,0
31,253,Lhx2,31,34
32,254,Clec2g,32,11
33,260,Gmpr,33,28
34,266,Ifi202b,34,11
35,275,Glra3,35,0
36,285,Dgke,36,11
37,287,Scpep1,37,11
38,291,Mnt,38,34
39,299,Itgb2,39,6
40,304,Hddc2,40,8
41,305,Tpd52l1,41,11
42,310,Pemt,42,35
43,312,Cdh1,43,29
44,314,Cdh4,44,5
45,317,Ckmt1,45,11
46,326,Bcl6b,46,16
47,327,Clec10a,47,11
48,329,Alox12,48,35
49,335,Comt,49,35
50,342,Ccl11,50,14
51,348,Rtca,51,3
52,349,Dbt,52,35
53,356,Dazap2,53,11
54,365,Mcts1,54,12
55,369,Rem1,55,33
56,384,Trappc10,56,5
57,388,Ccm2,57,11
58,394,Tbrg4,58,11
59,395,Tmprss2,59,10
60,412,Egfl6,60,11
61,421,Tssk3,61,2
62,430,Galnt1,62,19
63,445,Myf5,63,34
64,449,Mkrn2,64,15
65,450,Pparg,65,29
66,451,Raf1,66,5
67,466,Plin2,67,11
68,476,Pdgfra,68,33
69,500,Pdgfb,69,10
70,505,Mcm7,70,30
71,514,Serpinb8,71,29
72,542,Acvrl1,72,34
73,543,Grasp,73,11
74,544,Acvr1b,74,34
75,572,Gabra2,75,0
76,573,Ovgp1,76,11
77,574,Adora3,77,11
78,579,Sox9,78,34
79,590,Rdx,79,5
80,594,C1d,80,28
81,608,Gm2a,81,11
82,619,Clcn4,82,0
83,631,Grm6,83,13
84,632,Zfp354c,84,16
85,641,Sema4f,85,11
86,642,Hk2,86,35
87,687,Haao,87,11
88,696,Cd52,88,14
89,704,Hoxb6,89,34
90,707,Loxl3,90,11
91,717,Tcl1b5,91,11
92,718,Tcl1b4,92,11
93,724,Kat2b,93,32
94,727,Rab5b,94,24
95,746,Dnmt3l,95,15
96,755,Sult5a1,96,11
97,756,Rpl13,97,22
98,759,Chmp1a,98,11
99,767,Rpa1,99,9
100,769,Serpinf1,100,10
101,776,Tubgcp3,101,26
102,793,Polr3d,102,11
103,804,Ddx3x,103,15
104,808,Il12rb1,104,14
105,809,Slc5a5,105,0
106,811,Kcnn3,106,0
107,828,Txnrd3,107,23
108,834,Fasl,108,6
109,889,Il4,109,6
110,895,Necab3,110,11
111,896,Pxmp4,111,11
112,910,Dbh,112,11
113,924,Mmp11,113,34
114,925,Smarcb1,114,32
115,926,Vpreb3,115,11
116,939,Hip1r,116,24
117,940,Nsun5,117,3
118,958,Top1mt,118,15
119,964,Hoxa1,119,34
120,984,Slc7a7,120,35
121,985,Oxa1l,121,12
122,1002,Heatr6,122,11
123,1008,Ccl3,123,6
124,1009,Wfdc18,124,11
125,1027,Aox1,125,7
126,1036,Tyk2,126,33
127,1040,Icam4,127,11
128,1042,Ilf2,128,15
129,1043,Chtop,129,15
130,1046,S100a4,130,11
131,1047,S100a3,131,11
132,1049,S100a5,132,11
133,1051,S100a6,133,11
134,1055,Icam2,134,14
135,1059,Ern1,135,2
136,1079,Sec24b,136,24
137,1080,N4bp3,137,11
138,1081,Rmnd5b,138,11
139,1092,Zfp276,139,16
140,1109,Mfsd10,140,11
141,1112,Grk4,141,21
142,1115,Grk6,142,11
143,1116,Luzp1,143,11
144,1122,Slc13a2,144,11
145,1125,Kctd10,145,11
146,1126,Slc46a1,146,11
147,1127,Poldip2,147,11
148,1130,Sebox,148,34
149,1147,Col6a1,149,10
150,1148,Pcbp3,150,11
151,1155,Araf,151,5
152,1156,Cfp,152,14
153,1166,Cnnm3,153,11
154,1172,Ankrd39,154,16
155,1179,Pcnt,155,26
156,1181,Col6a2,156,10
157,1183,Ftcd,157,35
158,1184,Mxd1,158,11
159,1185,Gmcl1,159,11
160,1186,Snrnp27,160,20
161,1187,Anxa4,161,11
162,1202,Ocrl,162,24
163,1240,Agpat3,163,35
164,1242,D10Jhu81e,164,12
165,1247,Rnf32,165,11
166,1253,Slc26a4,166,0
167,1254,Slc26a3,167,11
168,1256,Sema6b,168,11
169,1258,Uhrf1,169,30
170,1279,Lsr,170,11
171,1280,Gramd1a,171,8
172,1304,Ckb,172,11
173,1319,Efnb2,173,5
174,1326,Sp1,174,32
175,1327,Itgb7,175,10
176,1339,Rrp15,176,3
177,1347,Rnd2,177,37
178,1384,Cnn1,178,11
179,1402,Fbxo9,179,27
180,1412,Vps50,180,15
181,1415,Sra1,181,11
182,1416,Hars,182,28
183,1419,Zmat2,183,15
184,1451,Smg5,184,11
185,1452,Cct3,185,23
186,1455,Mef2d,186,16
187,1456,Tmem79,187,11
188,1460,Snd1,188,11
189,1479,Kpnb1,189,15
190,1480,Npepps,190,35
191,1484,Tbx21,191,6
192,1485,Mrpl10,192,12
193,1497,Cideb,193,11
194,1507,Cyp51,194,7
195,1513,Tubb6,195,16
196,1520,Afg3l1,196,8
197,1534,Sost,197,11
198,1536,Nkx2-1,198,34
199,1538,Pax9,199,34
200,1544,Vwa5a,200,11
201,1547,Col1a1,201,10
202,1548,Itga3,202,10
203,1559,Itfg2,203,11
204,1562,Tulp3,204,39
205,1565,Gtf2h4,205,15
206,1566,Tubb5,206,26
207,1569,Flot1,207,11
208,1583,Ell2,208,15
209,1592,Jup,209,2
210,1595,Fkbp10,210,28
211,1599,Klhl10,211,11
212,1611,Nom1,212,28
213,1620,Fxr1,213,15
214,1626,Tnk1,214,11
215,1631,Acap1,215,5
216,1652,Bdkrb2,216,13
217,1667,Csn3,217,11
218,1672,Ifrd1,218,11
219,1675,Stk38l,219,16
220,1699,Hoxc10,220,34
221,1700,Hoxc13,221,34
222,1701,Hoxc11,222,34
223,1703,Hoxc8,223,34
224,1706,Hoxc9,224,34
225,1709,Hoxc5,225,11
226,1711,Hoxc6,226,34
227,1712,Cabin1,227,11
228,1713,Gstt1,228,35
229,1715,Gstt3,229,35
230,1716,Ddt,230,12
231,1720,Tat,231,35
232,1722,Marveld3,232,0
233,1724,Ddx18,233,3
234,1757,Eef1e1,234,28
235,1780,Akt1,235,29
236,1790,Cldn15,236,0
237,1792,Il16,237,14
238,1801,Tcirg1,238,5
239,1802,Naglu,239,11
240,1806,Coasy,240,35
241,1809,Pabpc1,241,3
242,1812,Smo,242,34
243,1818,Crnkl1,243,20
244,1824,Folh1,244,11
245,1825,Chordc1,245,11
246,1834,Rtcb,246,11
247,1836,Pwp1,247,3
248,1845,Capns1,248,5
249,1854,Slc7a10,249,35
250,1872,Hoxd13,250,34
251,1878,Hoxd12,251,34
252,1884,Clpb,252,28
253,1900,Zdhhc4,253,11
254,1920,Aif1l,254,11
255,1921,Cpa3,255,10
256,1927,Ltbp1,256,34
257,1950,Tollip,257,11
258,1963,Ace,258,34
259,1965,Kcnh6,259,11
260,1974,Trmt1,260,3
261,1975,Nacc1,261,34
262,1984,Ceacam9,262,11
263,1989,Uba1,263,27
264,2007,Siae,264,11
265,2008,Vsig2,265,11
266,2011,Esam,266,0
267,2013,Spa17,267,39
268,2025,Tktl2,268,35
269,2029,Emd,269,11
270,2043,Ccdc47,270,11
271,2044,Map3k3,271,2
272,2048,Taco1,272,11
273,2053,Npas1,273,16
274,2063,Ap4e1,274,24
275,2064,Blvra,275,11
276,2079,Plxnb3,276,5
277,2080,Pdzd4,277,11
278,2081,Srpk3,278,15
279,2084,Abcd1,279,35
280,2087,Pnck,280,16
281,2091,Bcap31,281,11
282,2095,Kmt2a,282,32
283,2099,Ift46,283,39
284,2100,Tmem25,284,11
285,2101,Cd3g,285,14
286,2112,Trappc6a,286,24
287,2121,Supt6,287,15
288,2127,Unc119,288,11
289,2128,Rab34,289,24
290,2133,Sdf2,290,11
291,2145,Hsf2bp,291,11
292,2152,Bbc3,292,11
293,2172,Acp2,293,11
294,2177,Nr1h3,294,34
295,2180,Spi1,295,6
296,2198,Sf3a1,296,20
297,2259,Clgn,297,5
298,2274,Napsa,298,5
299,2275,Vrk3,299,16
300,2280,Smg9,300,11
301,2284,Plaur,301,10
302,2289,Uchl3,302,15
303,2291,Paxip1,303,15
304,2292,Rmnd5a,304,11
305,2298,Ppm1j,305,11
306,2303,Rhoc,306,37
307,2305,Kdm7a,307,15
308,2318,Zfp523,308,16
309,2320,Ppard,309,34
310,2327,Def6,310,11
311,2336,Zim1,311,16
312,2344,Metrn,312,11
313,2350,Narfl,313,11
314,2360,Angptl4,314,10
315,2379,Cd320,315,10
316,2389,Tgm1,316,36
317,2391,Tm9sf1,317,11
318,2395,Rec8,318,9
319,2397,Gmpr2,319,28
320,2398,Adcy4,320,21
321,2400,Mdp1,321,11
322,2403,Dhrs1,322,7
323,2412,Ncan,323,19
324,2413,Tmem161a,324,11
325,2436,Snx9,325,24
326,2444,Rfx2,326,39
327,2445,Ranbp3,327,11
328,2452,Ndufa11,328,17
329,2456,Nt5c1b,329,11
330,2457,Bmp8b,330,11
331,2466,Nr2f6,331,16
332,2469,Ocel1,332,11
333,2473,Babam1,333,11
334,2487,Braf,334,5
335,2495,Meis3,335,34
336,2502,Hltf,336,15
337,2518,Aes,337,34
338,2529,Prpf6,338,20
339,2532,Rgs19,339,11
340,2549,Abhd3,340,11
341,2551,Snrpd1,341,20
342,2572,Slc9a3r2,342,0
343,2588,Tiam1,343,5
344,2603,Scrib,344,16
345,2625,Uck1,345,11
346,2640,Scin,346,11
347,2655,Mien1,347,12
348,2663,Pon1,348,34
349,2677,Axl,349,2
350,2678,Tgfb1,350,29
351,2683,Ccdc97,351,11
352,2699,Akap8,352,11
353,2708,Shh,353,34
354,2710,Pdcd2l,354,28
355,2733,Gtf2f1,355,20
356,2735,Clpp,356,12
357,2737,Alkbh7,357,11
358,2740,Pspn,358,11
359,2756,Med6,359,15
360,2757,Cox16,360,11
361,2765,Prkd1,361,11
362,2790,Cse1l,362,15
363,2805,Naa20,363,11
364,2808,Prkra,364,11
365,2809,Fkbp7,365,28
366,2818,Ykt6,366,24
367,2825,Baz1b,367,32
368,2837,Tmed5,368,11
369,2839,Ppp2r5d,369,9
370,2840,Pex6,370,11
371,2844,Mrpl2,371,22
372,2845,Mea1,372,11
373,2846,Gnmt,373,35
374,2848,Grin2d,374,0
375,2850,Abcc6,375,35
376,2855,Kdelr1,376,24
377,2880,Btbd6,377,11
378,2881,Nudt14,378,28
379,2883,Sfrp4,379,34
380,2885,Epdr1,380,11
381,2889,Flii,381,16
382,2891,Top3a,382,9
383,2902,Qtrt1,383,28
384,2908,Plin4,384,11
385,2911,Hdgfl2,385,11
386,2914,Chaf1a,386,9
387,2923,Adprh,387,11
388,2924,Tmem39a,388,11
389,2925,Timmdc1,389,12
390,2926,Pla1a,390,11
391,2976,Il17ra,391,14
392,2979,Lamb1,392,5
393,2989,Arrdc2,393,11
394,3017,Tbxas1,394,7
395,3027,Map2k7,395,5
396,3029,Timm44,396,12
397,3035,Disp1,397,11
398,3038,Ap2a2,398,24
399,3044,Pnkp,399,11
400,3049,Med25,400,11
401,3061,Bcam,401,11
402,3066,Apoe,402,29
403,3071,Apoc4,403,35
404,3074,Apoc2,404,35
405,3079,Prkar2b,405,2
406,3100,Cyp2f2,406,7
407,3115,Cdkn1b,407,34
408,3117,Ap1m1,408,24
409,3121,Rab8a,409,26
410,3123,Fam32a,410,11
411,3135,Elf3,411,11
412,3137,Cyp2c29,412,7
413,3152,Stk11,413,2
414,3154,Efna2,414,5
415,3156,Atp5d,415,17
416,3183,Ppp5c,416,2
417,3207,Lipe,417,35
418,3219,Cnot11,418,11
419,3238,Foxj2,419,16
420,3268,Sh3gl1,420,34
421,3274,Ebi3,421,14
422,3284,Irf3,422,14
423,3290,Bcl2l12,423,11
424,3310,Ranbp2,424,20
425,3312,Edar,425,11
426,3313,Grk5,426,11
427,3318,Dvl3,427,5
428,3319,Abcf3,428,28
429,3320,Eif2b5,429,28
430,3345,Amph,430,24
431,3351,Grin2c,431,0
432,3360,Car11,432,11
433,3369,Plag1,433,16
434,3370,Hck,434,33
435,3386,Mrpl4,435,22
436,3413,Cyp4f39,436,7
437,3416,Cyp4f16,437,7
438,3433,Mknk2,438,11
439,3434,Btbd2,439,11
440,3436,Abhd17a,440,11
441,3438,Mob3a,441,11
442,3442,Cacnb3,442,0
443,3444,Ccdc65,443,39
444,3445,Fkbp11,444,28
445,3450,Ddx23,445,20
446,3451,Rnd1,446,37
447,3459,Myo1g,447,14
448,3468,Grik5,448,0
449,3469,Cd79a,449,6
450,3493,Prkcsh,450,11
451,3501,Elavl3,451,11
452,3502,Rab3b,452,5
453,3509,St8sia6,453,19
454,3512,Fcgrt,454,11
455,3513,Nosip,455,11
456,3521,Rps11,456,22
457,3527,Supt5,457,20
458,3529,Paf1,458,15
459,3536,Med29,459,15
460,3550,Ncstn,460,11
461,3554,Casq1,461,11
462,3561,Phyhip,462,11
463,3568,Crhr2,463,11
464,3569,Inmt,464,11
465,3572,Gars,465,28
466,3574,Cyp4f18,466,7
467,3575,Tpm4,467,5
468,3597,Psg18,468,11
469,3612,Dusp3,469,16
470,3620,Prodh,470,35
471,3621,Ess2,471,11
472,3622,Slc25a1,472,11
473,3628,Ddr1,473,11
474,3635,Ier3,474,11
475,3640,Fosb,475,34
476,3642,Klc4,476,16
477,3643,Ckm,477,0
478,3645,Ercc1,478,9
479,3655,As3mt,479,11
480,3659,Comp,480,34
481,3669,Homer3,481,11
482,3677,Rnf215,482,11
483,3681,Sec14l2,483,11
484,3687,Tgfb3,484,34
485,3705,Aven,485,11
486,3717,Abcb4,486,35
487,3720,Crot,487,11
488,3754,Calb2,488,2
489,3759,Ciao1,489,11
490,3762,Has1,490,0
491,3808,Gdf15,491,11
492,3818,Insig2,492,11
493,3826,Htr3a,493,0
494,3843,Man1a,494,11
495,3850,Itpkc,495,11
496,3857,Shkbp1,496,11
497,3860,Coq8b,497,11
498,3870,Mxi1,498,11
499,3876,Brd8,499,15
500,3906,Farsa,500,28
501,3907,Gcdh,501,7
502,3910,Dnase2a,502,11
503,3911,Rad23a,503,28
504,3912,Calr,504,14
