protein_id,gene_name,node_idx
1,Gnai3,0
3,Pbsn,1
10,Hoxb9,2
28,Cdc45,3
49,Apoh,4
58,Cav2,5
80,Klf6,6
90,Cox5a,7
95,Tbx2,8
96,Tbx4,9
109,Cntn1,10
122,Ngfr,11
127,Wnt3,12
129,Fer,13
137,Actr2,14
153,Gna12,15
161,Itgb2l,16
171,Pih1d2,17
175,Sdhd,18
186,Fgf23,19
187,Fgf6,20
188,Ccnd2,21
193,Ccl2,22
194,Ccl12,23
199,Ncs1,24
201,Nalcn,25
206,Btbd17,26
208,Slfn4,27
219,Th,28
220,Ins2,29
221,Scnn1g,30
253,Lhx2,31
254,Clec2g,32
260,Gmpr,33
266,Ifi202b,34
275,Glra3,35
285,Dgke,36
287,Scpep1,37
291,Mnt,38
299,Itgb2,39
304,Hddc2,40
305,Tpd52l1,41
310,Pemt,42
312,Cdh1,43
314,Cdh4,44
317,Ckmt1,45
326,Bcl6b,46
327,Clec10a,47
329,Alox12,48
335,Comt,49
342,Ccl11,50
348,Rtca,51
349,Dbt,52
356,Dazap2,53
365,Mcts1,54
369,Rem1,55
384,Trappc10,56
388,Ccm2,57
394,Tbrg4,58
395,Tmprss2,59
412,Egfl6,60
421,Tssk3,61
430,Galnt1,62
445,Myf5,63
449,Mkrn2,64
450,Pparg,65
451,Raf1,66
466,Plin2,67
476,Pdgfra,68
500,Pdgfb,69
505,Mcm7,70
514,Serpinb8,71
542,Acvrl1,72
543,Grasp,73
544,Acvr1b,74
572,Gabra2,75
573,Ovgp1,76
574,Adora3,77
579,Sox9,78
590,Rdx,79
594,C1d,80
608,Gm2a,81
619,Clcn4,82
631,Grm6,83
632,Zfp354c,84
641,Sema4f,85
642,Hk2,86
687,Haao,87
696,Cd52,88
704,Hoxb6,89
707,Loxl3,90
717,Tcl1b5,91
718,Tcl1b4,92
724,Kat2b,93
727,Rab5b,94
746,Dnmt3l,95
755,Sult5a1,96
756,Rpl13,97
759,Chmp1a,98
767,Rpa1,99
769,Serpinf1,100
776,Tubgcp3,101
793,Polr3d,102
804,Ddx3x,103
808,Il12rb1,104
809,Slc5a5,105
811,Kcnn3,106
828,Txnrd3,107
834,Fasl,108
889,Il4,109
895,Necab3,110
896,Pxmp4,111
910,Dbh,112
924,Mmp11,113
925,Smarcb1,114
926,Vpreb3,115
939,Hip1r,116
940,Nsun5,117
958,Top1mt,118
964,Hoxa1,119
984,Slc7a7,120
985,Oxa1l,121
